id;laboratoty;indicator;result_receipt_date;resurch_method;examination_number;result
1;syndicate;pixel;portals deposit e-tailers;seize Incredible Fresh Chicken;throughput Cambridgeshire Centralized;POSITIVE
2;JSON Baby bluetooth;Towels interface Central;Investment Account schemas embrace;teal Exclusive;European Monetary Unit (E.M.U.-6) Orchestrator;NOT_STANDARDIZED
3;morph demand-driven;program Table back-end;vortals;Fully-configurable scalable coherent;quantifying Assurance;NOT_KNOWN
4;product backing up;Awesome Holy See (Vatican City State) array;protocol Junction;Granite Baby reboot;Wooden Personal Loan Account Handmade;NOT_STANDARDIZED
5;reboot;Wall;override quantifying Fully-configurable;unleash Multi-channelled intermediate;Handcrafted Fresh Gloves;NOT_STANDARDIZED
6;Balboa US Dollar;haptic Technician;leading-edge driver;index Solutions;Cotton Licensed;NOT_STANDARDIZED
7;New York Oregon;Future Surinam Dollar Monaco;bypass;Refined Progressive;Surinam Dollar eyeballs Fresh;NOT_STANDARDIZED
8;synergies copy backing up;payment HTTP Niger;Steel Shoes;monitor;Tasty Avon;POSITIVE
9;Avon orchid Applications;Surinam Dollar fresh-thinking Checking Account;backing up green Dynamic;Checking Account;back up invoice;NOT_STANDARDIZED
10;optimize intuitive;Palladium Rubber;target application CSS;Practical PNG blue;Corporate green Czech Koruna;NOT_KNOWN
